code,description
030241,"Fish: fresh or chilled, herrings (Clupea harengus, Clupea pallasii), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99"
030242,"Fish: fresh or chilled, anchovies (Engraulis spp.), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99"
030243,"Fish: fresh or chilled, sardines (Sardina pilchardus, Sardinops spp.), sardinella (Sardinella spp.), brisling or sprats (Sprattus sprattus), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99"
030244,"Fish: fresh or chilled, mackerel (Scomber scombrus, Scomber australasicus, Scomber japonicus), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99"
030245,"Fish: fresh or chilled, jack and horse mackerel (Trachurus spp.), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99"
030246,"Fish: fresh or chilled, cobia (Rachycentron canadum), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99"
030247,"Fish: fresh or chilled, swordfish (Xiphias gladius), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99"
030249,"Fish: fresh or chilled, n.e.c. in item no. 0302.4, excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99"
030251,"Fish: fresh or chilled, cod (Gadus morhua, Gadus ogac, Gadus macrocephalus), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99"
030252,"Fish: fresh or chilled, haddock (Melanogrammus aeglefinus), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99"
030253,"Fish: fresh or chilled, coalfish (Pollachius virens), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99"
030254,"Fish: fresh or chilled, hake (Merluccius spp., Urophycis spp.), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99"
030255,"Fish: fresh or chilled, Alaska pollock (Theragra chalcogramma), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99"
030256,"Fish: fresh or chilled, blue whitings (Micromesistius poutassou, Micromesistius australis),excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99"
030259,"Fish: fresh or chilled, n.e.c. in item no. 0302.5, excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99"
030271,"Fish: fresh or chilled, tilapias (Oreochromis spp.), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99"
030272,"Fish: fresh or chilled, catfish (Pangasius spp., Silurus spp., Clarias spp., Ictalurus spp.), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99"
030273,"Fish: fresh or chilled, Carp (as specified by the WCO.), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99"
030274,"Fish: fresh or chilled, eels (Anguilla spp.), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99"
030279,"Fish: fresh or chilled, Nile perch (Lates niloticus) and snakeheads (Channa spp.), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99"
030281,"Fish: fresh or chilled, dogfish and other sharks, excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99"
030282,"Fish: fresh or chilled, rays and skates (Rajidae), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99"
030283,"Fish: fresh or chilled, toothfish (Dissostichus spp.), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99"
030284,"Fish: fresh or chilled, seabass (Dicentrarchus spp.), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99"
030285,"Fish: fresh or chilled, seabream (Sparidae), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99"
030289,"Fish: fresh or chilled, n.e.c. in heading 0302, excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99"
030291,"Fish: fresh or chilled, livers, roes and milt"
030292,"Fish: fresh or chilled, shark fins"
030299,"Fish: fresh or chilled, fish fins (other than shark fins), heads, tails, maws and other edible fish offal"
030311,"Fish: frozen, Pacific salmon, sockeye salmon (red salmon) (Oncorhynchus nerka), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99"
030312,"Fish: frozen, Pacific salmon (Oncorhynchus gorbuscha/keta/tschawytscha/ kisutch/masou/rhodurus) other than sockeye salmon (Oncorhynchus nerka), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99"
030313,"Fish: frozen, Atlantic salmon (Salmo salar) and Danube salmon (Hucho hucho), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99"
030314,"Fish: frozen, trout (Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki, Oncorhynchus aguabonita, Oncorhynchus gilae, Oncorhynchus apache and Oncorhynchus chrysogaster), excluding fillets, meat of 0304, and edible fish offal of 0303.91 to 0303.99"
030319,"Fish: frozen, salmonidae, n.e.c. in item no. 0303.1, excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99"
030323,"Fish: frozen, tilapias (Oreochromis spp.), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99"
030324,"Fish: frozen, catfish (Pangasius spp., Silurus spp., Clarias spp., Ictalurus spp.), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99"
030325,"Fish: frozen, carp (as specified by the WCO), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99"
030326,"Fish: frozen, eels (Anguilla spp.), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99"
030329,"Fish: frozen, Nile perch (Lates niloticus) and snakeheads (Channa spp.), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99"
030331,"Fish: frozen, halibut (Reinhardtius hippoglossoides, Hippoglossus hippoglossus, Hippoglossus stenolepis), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99"
030332,"Fish: frozen, plaice (Pleuronectes platessa), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99"
030333,"Fish: frozen, sole (Solea spp.), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99"
030334,"Fish: frozen, turbots (Psetta maxima, Scophthalmidae), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99"
030339,"Fish: frozen, flat fish, n.e.c. in item no. 0303.3, excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99"
030341,"Fish: frozen, albacore or longfinned tunas (Thunnus alalunga), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99"
030342,"Fish: frozen, yellowfin tunas (Thunnus albacares), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99"
030343,"Fish: frozen, skipjack tuna (stripe-bellied bonito) (Katsuwonus pelamis), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99"
030344,"Fish: frozen, bigeye tunas (Thunnus obesus), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99"
030345,"Fish: frozen, Atlantic and Pacific bluefin tunas (Thunnus thynnus, Thunnus orientalis), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99"
030346,"Fish: frozen, southern bluefin tunas (Thunnus maccoyii), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99"
030349,"Fish: frozen, tuna, n.e.c. in item no. 0303.4, excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99"
030351,"Fish: frozen, herrings (Clupea harengus, Clupea pallasii), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99"
030353,"Fish: frozen, sardines (Sardina pilchardus, Sardinops spp.), sardinella (Sardinella spp.), brisling or sprats (Sprattus sprattus), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99"
030354,"Fish: frozen, mackerel (Scomber scombrus, Scomber australasicus, Scomber japonicus), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99"
030355,"Fish: frozen, jack and horse mackerel (Trachurus spp.), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99"
030356,"Fish: frozen, cobia (Rachycentron canadum), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99"
030357,"Fish: frozen, swordfish (Xiphias gladius), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99"
030359,"Fish: frozen, n.e.c. in item no. 0303.5, excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99"
030363,"Fish: frozen, cod (Gadus morhua, Gadus ogac, Gadus macrocephalus), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99"
030364,"Fish: frozen, haddock (Melanogrammus aeglefinus), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99"
030365,"Fish: frozen, coalfish (Pollachius virens), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99"
030366,"Fish: frozen, hake (Merluccius spp., Urophycis spp.), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99"
030367,"Fish: frozen, Alaska pollock (Theragra chalcogramma), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99"
030368,"Fish: frozen, blue whitings (Micromesistius poutassou, Micromesistius australis), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99"
030369,"Fish: frozen, of Bregmacerotidae, Euclichthyidae, Gadidae, Macrouridae, Melanonidae, Merlucciidae, Moridae, Muraenolepididae, other than cod, haddock, coalfish, hake, Alaska pollack, blue whitings, not fillets, meat of 0304, and edible offal of 0303.9"
030381,"Fish: frozen, dogfish and other sharks, excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99"
030382,"Fish: frozen, rays and skates (Rajidae), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99"
030383,"Fish: frozen, toothfish (Dissostichus spp.), excluding fillets, livers, roes, and edible fish offal of subheadings 0303.91 to 0303.99"
030384,"Fish: frozen, seabass (Dicentrarchus spp.), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99"
030389,"Fish: frozen, n.e.c. in heading 0303, excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99"
030391,"Fish: frozen, livers, roes and milt"
030392,"Fish: frozen, shark fins"
030399,"Fish: frozen, fish fins (other than shark fins), heads, tails, maws and other edible fish offal"
030431,"Fish fillets: fresh or chilled, tilapias (Oreochromis spp.)"
030432,"Fish fillets: fresh or chilled, catfish (Pangasius spp., Silurus spp., Clarias spp., Ictalurus spp.)"
030433,"Fish fillets: fresh or chilled, Nile perch (Lates niloticus)"
030439,"Fish fillets: fresh or chilled, carp (as specified by the WCO), eels (Anguilla spp.), and snakeheads (Channa spp.)"
030441,"Fish fillets: fresh or chilled, salmon, Pacific (Oncorhynchus nerka, Oncorhynchus gorbuscha, Oncorhynchus keta, Oncorhynchus tschawytscha, Oncorhynchus kisutch, Oncorhynchus masou and Oncorhynchus rhodurus), Atlantic (Salmo salar), Danube (Hucho hucho)"
030442,"Fish fillets: fresh or chilled, trout (Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki, Oncorhynchus aguabonita, Oncorhynchus gilae, Oncorhynchus apache and Oncorhynchus chrysogaster)"
030443,"Fish fillets: fresh or chilled, flat fish (Pleuronectidae, Bothidae, Cynoglossidae, Soleidae, Scophthalmidae and Citharidae)"
030444,"Fish fillets: fresh or chilled, of the families Bregmacerotidae, Euclichthyidae, Gadidae, Macrouridae, Melanonidae, Merlucciidae, Moridae, and Muraenolepididae"
030445,"Fish fillets: fresh or chilled, swordfish (Xiphias gladius)"
030446,"Fish fillets: fresh or chilled, toothfish (Dissostichus spp.)"
030447,"Fish fillets: fresh or chilled, dogfish and other sharks"
030448,"Fish fillets: fresh or chilled, rays and skates (Rajidae)"
030449,"Fish fillets: fresh or chilled, other than fish of heading 0304.4"
030451,"Fish meat, excluding fillets, whether or not minced: fresh or chilled, tilapias, catfish, carp, eels, Nile perch, and snakeheads"
030452,"Fish meat, excluding fillets, whether or not minced: fresh or chilled, salmonidae"
030453,"Fish meat, excluding fillets, whether or not minced: fresh or chilled, of the families Bregmacerotidae, Euclichthyidae, Gadidae, Macrouridae, Melanonidae, Merlucciidae, Moridae, and Muraenolepididae"
030454,"Fish meat, excluding fillets, whether or not minced: fresh or chilled, swordfish (Xiphias gladius)"
030455,"Fish meat, excluding fillets, whether or not minced: fresh or chilled, toothfish (Dissostichus spp.)"
030456,"Fish meat: excluding fillets, whether or not minced: fresh or chilled, dogfish and other sharks"
030457,"Fish meat: excluding fillets, whether or not minced: fresh or chilled, rays and skates (Rajidae)"
030459,"Fish meat: excluding fillets, whether or not minced: fresh or chilled, of fish n.e.c. in item no. 0304.5"
030461,"Fish fillets: frozen, tilapias (Oreochromis spp.)"
030462,"Fish fillets: frozen, catfish (Pangasius spp., Silurus spp., Clarias spp., Ictalurus spp.)"
030463,"Fish fillets: frozen, Nile Perch (Lates niloticus)"
030469,"Fish fillets: frozen, carp (Cyprinus/Carassius/Ctenopharyngodon idellus/Hypophthalmichthys/Cirrhinus/Mylopharyngodon piceus/Catla catla/Labeo/Osteochilus hasselti/Leptobarbus hoeveni/Megalobrama), eels (Anguilla) and snakeheads (Channa)"
030471,"Fish fillets: frozen, cod (Gadus morhua, Gadus ogac, Gadus macrocephalus)"
030472,"Fish fillets: frozen, haddock (Melanogrammus aeglefinus)"
030473,"Fish fillets: frozen, coalfish (Pollachius virens)"
030474,"Fish fillets: frozen, hake (Merluccius spp., Urophycis spp.)"
030475,"Fish fillets: frozen, Alaska pollock (Theragra chalcogramma)"
030479,"Fish fillets: frozen, of the families Bregmacerotidae, Euclichthyidae, Gadidae, Macrouridae, Melanonidae, Merlucciidae, Moridae and Muraenolepididae other than cod, haddock, coalfish, hake, and Alaska pollock"
030481,"Fish fillets: frozen, salmon, Pacific (Oncorhynchus nerka, Oncorhynchus gorbuscha, Oncorhynchus keta, Oncorhynchus tschawytscha, Oncorhynchus kisutch, Oncorhynchus masou, Oncorhynchus rhodurus), Atlantic (Salmo salar), and Danube (Hucho hucho)"
030482,"Fish fillets: frozen, trout (Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki, Oncorhynchus aguabonita, Oncorhynchus gilae, Oncorhynchus apache and Oncorhynchus chrysogaster)"
030483,"Fish fillets: frozen, flat fish (Pleuronectidae, Bothidae, Cynoglossidae, Soleidae, Scophthalmidae and Citharidae)"
030484,"Fish fillets: frozen, swordfish (Xiphias gladius)"
030485,"Fish fillets: frozen, toothfish (Dissostichus spp.)"
030486,"Fish fillets: frozen, herrings (Clupea harengus, Clupea pallasii)"
030487,"Fish fillets: frozen, tunas (of the genus Thunnus), skipjack tuna (stripe-bellied bonito) (Katsuwonus pelamis)"
030488,"Fish fillets: frozen, dogfish, other sharks, rays and skates (Rajidae)"
030489,"Fish fillets: frozen, of fish n.e.c. in heading 0304.8"
030491,"Fish meat, excluding fillets, whether or not minced: frozen, swordfish (Xiphias gladius)"
030492,"Fish meat, excluding fillets, whether or not minced: frozen, toothfish (Dissostichus spp.)"
030493,"Fish meat, excluding fillets, whether or not minced: frozen, tilapias, catfish, carp, eels, Nile perch, and snakeheads"
030494,"Fish meat, excluding fillets, whether or not minced: frozen, Alaska Pollock (Theragra chalcogramma)"
030495,"Fish meat, excluding fillets, whether or not minced: frozen, of the families Bregmacerotidae, Euclichthyidae, Gadidae, Macrouridae, Melanonidae, Merlucciidae, Moridae and Muraenolepididae, other than Alaska Pollock (Theragra chalcogramma)"
030496,"Fish meat, excluding fillets, whether or not minced: frozen, dogfish and other sharks"
030497,"Fish meat, excluding fillets, whether or not minced: frozen, rays and skates (Rajidae)"
030499,"Fish meat, excluding fillets, whether or not minced: frozen, n.e.c. in item no. 0304.9"
030520,"Fish: livers, roes and milt of fish, dried, smoked, salted or in brine"
030531,"Fish fillets: dried, salted or in brine, but not smoked, tilapias, catfish, carp, eels, Nile perch, and snakeheads"
030532,"Fish fillets: dried, salted or in brine, but not smoked, of the families Bregmacerotidae, Euclichthyidae, Gadidae, Macrouridae, Melanonidae, Merlucciidae, Moridae and Muraenolepididae"
030539,"Fish fillets: dried, salted or in brine, but not smoked, n.e.c. in item no. 0305.3"
